"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","PIM - Add Employee","1","0","Required field validation","0"
"0","OrangeHRM Web Application","0","Employee Search Functionality","1","0","Search for non-existing employee","0"
"0","","0","UI & Branding","1","0","Sidebar menu","0"
"0","","0","Admin - User Management","1","0","Add User form","0"
"0","","0","Authentication","1","0","Invalid login","0"
"0","","0","Authentication","1","0","Empty field validation","0"
"0","","0","PIM - Add Employee","1","0","Add Employee page loads","0"
"0","","0","UI & Branding","1","0","Footer branding","0"
"0","","0","Authentication","1","0","Valid login","0"
"0","OrangeHRM Web Application","0","Employee Search Functionality","1","0","Search an existing employee","0"
"0","","0","PIM - Add Employee","1","0","End-to-end employee creation","0"
