"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17910","TC09 - Verify the Admin > Add User page fields","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.AdminTests","Admin And UI Tests","com.orangehrm.tests.AdminTests","testAddUserFormFields"
"","13190","TC02 - Login with invalid credentials","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.LoginTests","Login Tests","com.orangehrm.tests.LoginTests","testLoginWithInvalidCredentials"
"","9039","TC07 - Add employee with an empty required field","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.AddEmployeeTests","PIM Tests","com.orangehrm.tests.AddEmployeeTests","testAddEmployeeWithEmptyFirstName"
"Logs in with valid credentials and verifies the dashboard is reached.","9997","TC01 - Login with valid credentials","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.LoginTests","Login Tests","com.orangehrm.tests.LoginTests","testLoginWithValidCredentials"
"","13512","TC05 - Search for a non-existing employee","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.EmployeeSearchTests","PIM Tests","com.orangehrm.tests.EmployeeSearchTests","testSearchNonExistingEmployee"
"","10379","TC03 - Login with empty fields","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.LoginTests","Login Tests","com.orangehrm.tests.LoginTests","testLoginWithEmptyFields"
"","11320","TC05 - Search for a non-existing employee","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.EmployeeSearchTests","PIM Tests","com.orangehrm.tests.EmployeeSearchTests","testSearchNonExistingEmployee"
"","31446","TC08 - End-to-end: add a new employee successfully","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.AddEmployeeTests","PIM Tests","com.orangehrm.tests.AddEmployeeTests","testAddEmployeeEndToEnd"
"","7793","TC06 - Open the Add Employee page","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.AddEmployeeTests","PIM Tests","com.orangehrm.tests.AddEmployeeTests","testOpenAddEmployeePage"
"","8278","TC02 - Login with invalid credentials","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.LoginTests","Login Tests","com.orangehrm.tests.LoginTests","testLoginWithInvalidCredentials"
"","28295","TC04 - Search for an existing employee","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.EmployeeSearchTests","PIM Tests","com.orangehrm.tests.EmployeeSearchTests","testSearchExistingEmployee"
"","10683","TC11 - Verify the sidebar menu items","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.UiTests","Admin And UI Tests","com.orangehrm.tests.UiTests","testSidebarMenuItems"
"","25408","TC10 - Verify the OrangeHRM footer branding link","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.UiTests","Admin And UI Tests","com.orangehrm.tests.UiTests","testFooterBrandingLink"
"","8587","TC02 - Login with invalid credentials","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.LoginTests","Login Tests","com.orangehrm.tests.LoginTests","testLoginWithInvalidCredentials"
"","28172","TC08 - End-to-end: add a new employee successfully","OrangeHRM Automation Suite","2026-08-18","passed","2026-08-18","com.orangehrm.tests.AddEmployeeTests","PIM Tests","com.orangehrm.tests.AddEmployeeTests","testAddEmployeeEndToEnd"
